ANT1	18.00	10.00	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	11.50	6.50	0.00	12pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C1-EP-DR	-10.50	-9.00	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10	3.50	2.00	0.00	N.C.	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C11	4.50	1.50	0.00	100pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C12	2.50	3.50	0.00	100nF	PERFECT_0402_0402
C13	2.50	2.50	0.00	N.C.	PERFECT_0402_0402
C14	11.50	2.00	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15	11.50	1.00	0.00	1.0µF	PERFECT_0402_0402
C16	7.50	5.00	0.00	47nF	PERFECT_0402_0402
C17	-0.50	10.00	0.00	12pF	PERFECT_0402_0402
C18	0.50	10.00	0.00	12pF	PERFECT_0402_0402
C19	-3.50	-4.00	0.00	100nF	PERFECT_0402_0402
C2-EP-DR	-10.50	-11.00	0.00	4.7uF/25V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20	7.50	6.00	0.00	4.7µF	PERFECT_0402_0402
C21	7.50	4.00	0.00	4.7µF	PERFECT_0402_0402
C22	2.50	4.50	0.00	N.C.	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C23	-0.50	12.50	0.00	0.1uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C24	-2.00	12.50	0.00	10uF	GRM011R60J152KE01L_2_CAPC0201X13N
C25	-3.50	12.50	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C26	-6.00	11.00	0.00	12pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27	-6.00	10.00	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C29	12.50	-12.50	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C3	17.00	9.00	0.00	1pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C30	1.50	-12.50	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C31	-1.50	-12.50	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C32	-3.50	-10.00	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C33	-1.00	9.50	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34	-0.50	-10.00	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C37	-9.50	12.00	0.00	1uF	GRM011R60J152KE01L_1_0201
C38	-6.50	12.00	0.00	1uF	GRM011R60J152KE01L_1_0201
C39	-7.50	12.00	0.00	10uF	PERFECT_0402_0402
C4	2.50	6.50	0.00	1pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C42	7.00	13.00	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C43	5.50	13.00	0.00	4.7uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C5	7.50	3.00	0.00	100nF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C6	3.50	6.00	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C7	8.50	6.50	0.00	100nF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C8	8.50	5.50	0.00	100nF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C9	2.50	5.50	0.00	820pF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
D2	-5.50	-9.00	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	3.50	13.00	0.00	USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4	-5.50	-11.00	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D5	-5.50	-13.00	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1	-11.00	2.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10	-11.00	-4.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11	-11.00	-5.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12	-11.00	-6.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2	-11.00	1.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5	-11.00	0.50	90.00	0.1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6	-11.00	-0.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7	-11.00	-1.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8	-11.00	-2.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9	-11.00	-3.50	90.00	1uF/50V	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1	-8.00	11.00	0.00	BQ25180YBGR_BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2	-2.00	-9.00	0.00	RT6160AWSC_RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
IC3	-2.00	-3.00	0.00	BMA421_BMA421	BMA421_BMA421
IC4	-2.00	11.00	0.00	DRV2605YZFR_DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
J1	-13.70	0.00	270.00	503480-2400	5034802400
J2	16.40	12.39	0.00	TC2030-IDC_TC2030-IDC	TC2030-IDC_TC2030IDC
J3	12.40	-2.52	0.00	503480-2400	503480-2400_5034802400
J4	0.00	13.84	180.00	KH-TYPE-C-16P	KINGHELM_KH-TYPE-C-16P
J5	-17.30	12.00	0.00	KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
